context_length,sparsity,method,total_cycles,latency_us,tokens_per_second,speedup_vs_dense,effective_ddr_bandwidth_gbps,bubble_rate_pct,p_util_pct,f_util_pct,c_util_pct,avg_p_cycles,avg_f_cycles,avg_c_cycles
32768,0.1,Dense-FullKV,4276176,21380.9,46.7708,1,25.1099,0,0,75.4693,24.5307,0,403400,131122
32768,0.1,Sparse-LinearNaive,439854,2199.27,454.696,9.72181,24.4128,0,15.1614,60.907,23.9316,8336,33487.8,13158
32768,0.1,Sparse-HashNoMerge,372196,1860.98,537.351,11.489,28.8506,0,17.9174,53.8007,28.2819,8336,25030.5,13158
32768,0.1,Sparse-HashMerge,182416,912.08,1096.4,23.4419,58.8659,0,36.5582,5.73634,57.7055,8336,1308,13158
32768,0.1,Sparse-HashMergePipeline,114846,574.23,1741.46,37.234,93.4998,0,58.0673,8.62372,91.6567,8336,1238,13158
65536,0.01,Dense-FullKV,8551952,42759.8,23.3865,1,25.111,0,0,75.4728,24.5272,0,806800,262194
65536,0.01,Sparse-LinearNaive,207380,1036.9,964.413,41.2381,10.3654,0,63.7593,25.9254,10.3154,16528,6720.5,2674
65536,0.01,Sparse-HashNoMerge,194393,971.965,1028.84,43.9931,11.0579,0,68.0189,20.9766,11.0045,16528,5097.12,2674
65536,0.01,Sparse-HashMerge,158109,790.545,1264.95,54.089,13.5956,0,83.6284,2.84171,13.5299,16528,561.625,2674
65536,0.01,Sparse-HashMergePipeline,135550,677.75,1475.47,63.0908,15.8582,0,97.5463,4.07377,15.7816,16528,690.25,2674
65536,0.05,Dense-FullKV,8551952,42759.8,23.3865,1,25.111,0,0,75.4728,24.5272,0,806800,262194
65536,0.05,Sparse-LinearNaive,501557,2507.78,398.758,17.0508,21.4095,0,26.3627,52.6498,20.9874,16528,33008.6,13158
65536,0.05,Sparse-HashNoMerge,436054,2180.27,458.659,19.6121,24.6256,0,30.3228,45.537,24.1401,16528,24820.8,13158
65536,0.05,Sparse-HashMerge,248838,1244.19,803.736,34.3675,43.1529,0,53.1366,4.5612,42.3022,16528,1418.75,13158
65536,0.05,Sparse-HashMergePipeline,146760,733.8,1362.77,58.2717,73.1676,0,90.0954,7.50273,71.7253,16528,1376.38,13158
65536,0.1,Dense-FullKV,8551952,42759.8,23.3865,1,25.111,0,0,75.4728,24.5272,0,806800,262194
65536,0.1,Sparse-LinearNaive,870542,4352.71,229.742,9.82371,24.6699,0,15.1887,60.6737,24.1376,16528,66023.8,26266
65536,0.1,Sparse-HashNoMerge,739133,3695.66,270.587,11.5702,29.0559,0,17.8891,53.6819,28.429,16528,49597.6,26266
65536,0.1,Sparse-HashMerge,362200,1811,552.181,23.6111,59.2936,0,36.5058,5.47985,58.0144,16528,2481,26266
65536,0.1,Sparse-HashMergePipeline,228952,1144.76,873.546,37.3526,93.802,0,57.7518,7.5553,91.7782,16528,2162.25,26266
131072,0.01,Dense-FullKV,17103504,85517.5,11.6935,1,25.1116,0,0,75.4746,24.5254,0,1.6136e+06,524338
131072,0.01,Sparse-LinearNaive,411875,2059.38,485.584,41.526,10.4301,0,63.9262,25.7911,10.2827,32912,13278.4,5294
131072,0.01,Sparse-HashNoMerge,383325,1916.62,521.75,44.6188,11.2069,0,68.6874,20.264,11.0486,32912,9709.62,5294
131072,0.01,Sparse-HashMerge,312740,1563.7,639.509,54.6892,13.7363,0,84.1901,2.2677,13.5422,32912,886.5,5294
